=== en-de ===
family |  |  | Nomen | die Familie | My family lives in Switzerland. | Meine Familie lebt in der Schweiz. | Her family eats dinner together. | Ihre Familie isst gemeinsam zu Abend. | ˈfæməli
table |  |  | Nomen | der Tisch | The books are on the table. | Die Bücher liegen auf dem Tisch. | We eat dinner at the table. | Wir essen am Tisch zu Abend. | ˈteɪbəl
chair |  |  | Nomen | der Stuhl | The chair is near the window. | Der Stuhl steht beim Fenster. | Please sit on this chair. | Bitte setz dich auf diesen Stuhl. | ˈtʃeə
question |  |  | Nomen | die Frage | The teacher asks a question. | Der Lehrer stellt eine Frage. | I understand your question. | Ich verstehe deine Frage. | ˈkwestʃən
answer |  |  | Nomen | die Antwort | Her answer is correct. | Ihre Antwort ist richtig. | He writes the answer carefully. | Er schreibt die Antwort sorgfältig. | ˈɑːnsə
one |  |  | Zahlwort | eins | I have one brother. | Ich habe einen Bruder. | One apple is on the table. | Ein Apfel liegt auf dem Tisch. | ˈwʌn
two |  |  | Zahlwort | zwei | She has two good friends. | Sie hat zwei gute Freunde. | We buy two bottles of milk. | Wir kaufen zwei Flaschen Milch. | ˈtuː
three |  |  | Zahlwort | drei | Three pupils read a book. | Drei Schüler lesen ein Buch. | He eats three small apples. | Er isst drei kleine Äpfel. | ˈθriː
ten |  |  | Zahlwort | zehn | Our class has ten pupils. | Unsere Klasse hat zehn Schüler. | The train comes in ten minutes. | Der Zug kommt in zehn Minuten. | ˈten
hundred |  |  | Zahlwort | hundert | This book has one hundred pages. | Dieses Buch hat hundert Seiten. | One hundred people live here. | Hundert Menschen wohnen hier. | ˈhʌndrəd
day |  |  | Nomen | der Tag | Today is a good day. | Heute ist ein guter Tag. | I learn English every day. | Ich lerne jeden Tag Englisch. | ˈdeɪ
week |  |  | Nomen | die Woche | We have school this week. | Wir haben diese Woche Schule. | She visits her grandmother every week. | Sie besucht jede Woche ihre Grossmutter. | ˈwiːk
month |  |  | Nomen | der Monat | This month has thirty days. | Dieser Monat hat dreissig Tage. | We visit them next month. | Wir besuchen sie nächsten Monat. | ˈmʌnθ
year |  |  | Nomen | das Jahr | The year begins in January. | Das Jahr beginnt im Januar. | He lives here all year. | Er wohnt das ganze Jahr hier. | ˈjɪə
today |  |  | Adverb | heute | We have English today. | Wir haben heute Englisch. | The weather is good today. | Das Wetter ist heute gut. | təˈdeɪ
tomorrow |  |  | Adverb | morgen | The train leaves tomorrow morning. | Der Zug fährt morgen früh ab. | I visit my friend tomorrow. | Ich besuche morgen meinen Freund. | təˈmɒrəʊ
hour |  |  | Nomen | die Stunde | The lesson lasts one hour. | Die Lektion dauert eine Stunde. | We wait for an hour. | Wir warten eine Stunde. | ˈaʊə
head |  |  | Nomen | der Kopf | My head hurts today. | Mein Kopf tut heute weh. | He puts his hand on his head. | Er legt seine Hand auf den Kopf. | ˈhed
hand |  |  | Nomen | die Hand | She writes with her left hand. | Sie schreibt mit der linken Hand. | Give me your hand. | Gib mir deine Hand. | ˈhænd
eye |  |  | Nomen | das Auge | Her left eye is blue. | Ihr linkes Auge ist blau. | Close one eye now. | Schliesse jetzt ein Auge. | ˈaɪ
foot | foot, feet |  | Nomen | der Fuss | My right foot hurts. | Mein rechter Fuss tut weh. | He washes his foot carefully. | Er wäscht seinen Fuss sorgfältig. | ˈfʊt
heart |  |  | Nomen | das Herz | My heart beats very fast. | Mein Herz schlägt sehr schnell. | The doctor listens to her heart. | Der Arzt hört ihr Herz ab. | ˈhɑːt
mouth |  |  | Nomen | der Mund | Open your mouth, please. | Öffne bitte deinen Mund. | The child has a small mouth. | Das Kind hat einen kleinen Mund. | ˈmaʊθ
water |  |  | Nomen | das Wasser | I drink water every morning. | Ich trinke jeden Morgen Wasser. | The water is very cold. | Das Wasser ist sehr kalt. | ˈwɔːtə
bread |  |  | Nomen | das Brot | We eat bread for breakfast. | Wir essen Brot zum Frühstück. | She buys fresh bread today. | Sie kauft heute frisches Brot. | ˈbred
milk |  |  | Nomen | die Milch | The child drinks warm milk. | Das Kind trinkt warme Milch. | We need milk for breakfast. | Wir brauchen Milch zum Frühstück. | ˈmɪlk
apple |  |  | Nomen | der Apfel | This apple tastes very good. | Dieser Apfel schmeckt sehr gut. | He eats an apple at school. | Er isst in der Schule einen Apfel. | ˈæpəl
cheese |  |  | Nomen | der Käse | The cheese is on the table. | Der Käse liegt auf dem Tisch. | I eat bread with cheese. | Ich esse Brot mit Käse. | ˈtʃiːz
meat |  |  | Nomen | das Fleisch | We eat meat for dinner. | Wir essen Fleisch zum Abendessen. | The meat is very hot. | Das Fleisch ist sehr heiss. | ˈmiːt
egg |  |  | Nomen | das Ei | I eat an egg for breakfast. | Ich esse ein Ei zum Frühstück. | The egg is in the kitchen. | Das Ei ist in der Küche. | ˈeɡ
fish |  |  | Nomen | der Fisch | The fish swims in the water. | Der Fisch schwimmt im Wasser. | We eat fish for dinner. | Wir essen Fisch zum Abendessen. | ˈfɪʃ
soup |  |  | Nomen | die Suppe | The soup is very hot. | Die Suppe ist sehr heiss. | My mother makes good soup. | Meine Mutter macht eine gute Suppe. | ˈsuːp
sugar |  |  | Nomen | der Zucker | I take sugar with my tea. | Ich nehme Zucker zu meinem Tee. | The sugar is on the table. | Der Zucker steht auf dem Tisch. | ˈʃʊɡə
breakfast |  |  | Nomen | das Frühstück | We eat breakfast in the kitchen. | Wir essen das Frühstück in der Küche. | Breakfast is ready at seven. | Das Frühstück ist um sieben Uhr bereit. | ˈbrekfəst
dinner |  |  | Nomen | das Abendessen | Dinner is ready now. | Das Abendessen ist jetzt bereit. | We have dinner with our parents. | Wir essen mit unseren Eltern zu Abend. | ˈdɪnə
house |  |  | Nomen | das Haus | Our house has a garden. | Unser Haus hat einen Garten. | The house is near the school. | Das Haus steht nahe bei der Schule. | ˈhaʊs
flat |  |  | Nomen | die Wohnung | Their flat is very small. | Ihre Wohnung ist sehr klein. | We live in a new flat. | Wir wohnen in einer neuen Wohnung. | ˈflæt
room |  |  | Nomen | das Zimmer | My room has two windows. | Mein Zimmer hat zwei Fenster. | The children play in this room. | Die Kinder spielen in diesem Zimmer. | ˈruːm
door |  |  | Nomen | die Tür | Please close the door. | Bitte schliesse die Tür. | The dog waits by the door. | Der Hund wartet bei der Tür. | ˈdɔː
window |  |  | Nomen | das Fenster | Please open the window. | Bitte öffne das Fenster. | The cat sits by the window. | Die Katze sitzt beim Fenster. | ˈwɪndəʊ
bed |  |  | Nomen | das Bett | The child sleeps in this bed. | Das Kind schläft in diesem Bett. | My book is on the bed. | Mein Buch liegt auf dem Bett. | ˈbed
kitchen |  |  | Nomen | die Küche | My father cooks in the kitchen. | Mein Vater kocht in der Küche. | Our kitchen has a small table. | Unsere Küche hat einen kleinen Tisch. | ˈkɪtʃɪn
garden |  |  | Nomen | der Garten | The children play in the garden. | Die Kinder spielen im Garten. | We have flowers in our garden. | Wir haben Blumen in unserem Garten. | ˈɡɑːdən
trousers |  | pl | Nomen | die Hose | These trousers are too small. | Diese Hose ist zu klein. | His trousers are new and blue. | Seine Hose ist neu und blau. | ˈtraʊzəz
shirt |  |  | Nomen | das Hemd | His shirt is white. | Sein Hemd ist weiss. | I need a new shirt. | Ich brauche ein neues Hemd. | ˈʃɜːt
shoe |  |  | Nomen | der Schuh | This shoe is too big. | Dieser Schuh ist zu gross. | My shoe is under the bed. | Mein Schuh liegt unter dem Bett. | ˈʃuː
jacket |  |  | Nomen | die Jacke | Her jacket is on the chair. | Ihre Jacke liegt auf dem Stuhl. | I wear a warm jacket. | Ich trage eine warme Jacke. | ˈdʒækɪt
dog |  |  | Nomen | der Hund | The dog runs in the garden. | Der Hund rennt im Garten. | Our dog drinks some water. | Unser Hund trinkt etwas Wasser. | ˈdɒɡ
cat |  |  | Nomen | die Katze | The cat sleeps on my bed. | Die Katze schläft auf meinem Bett. | Our cat has green eyes. | Unsere Katze hat grüne Augen. | ˈkæt
horse |  |  | Nomen | das Pferd | The horse eats an apple. | Das Pferd frisst einen Apfel. | Her horse runs very fast. | Ihr Pferd rennt sehr schnell. | ˈhɔːs
bird |  |  | Nomen | der Vogel | A bird sits in the tree. | Ein Vogel sitzt im Baum. | The bird has blue feathers. | Der Vogel hat blaue Federn. | ˈbɜːd
tree |  |  | Nomen | der Baum | The tree is very old. | Der Baum ist sehr alt. | A bird sits in this tree. | Ein Vogel sitzt in diesem Baum. | ˈtriː
flower |  |  | Nomen | die Blume | This flower is very beautiful. | Diese Blume ist sehr schön. | She has a flower in her hand. | Sie hält eine Blume in der Hand. | ˈflaʊə
sun |  |  | Nomen | die Sonne | The sun is warm today. | Die Sonne ist heute warm. | We sit in the sun. | Wir sitzen in der Sonne. | ˈsʌn
rain |  |  | Nomen | der Regen | The rain starts this morning. | Der Regen beginnt heute Morgen. | We play outside after the rain. | Wir spielen nach dem Regen draussen. | ˈreɪn
city |  |  | Nomen | die Stadt | This city has a big station. | Diese Stadt hat einen grossen Bahnhof. | My grandparents live in the city. | Meine Grosseltern wohnen in der Stadt. | ˈsɪti
street |  |  | Nomen | die Strasse | Our school is on this street. | Unsere Schule liegt an dieser Strasse. | The street is very quiet today. | Die Strasse ist heute sehr ruhig. | ˈstriːt
station |  |  | Nomen | der Bahnhof | The train waits at the station. | Der Zug wartet am Bahnhof. | We walk to the station. | Wir gehen zu Fuss zum Bahnhof. | ˈsteɪʃən
car |  |  | Nomen | das Auto | Our car is very old. | Unser Auto ist sehr alt. | My mother drives the car. | Meine Mutter fährt das Auto. | ˈkɑː
train |  |  | Nomen | der Zug | The train comes at ten. | Der Zug kommt um zehn Uhr. | We go to school by train. | Wir fahren mit dem Zug zur Schule. | ˈtreɪn
shop |  |  | Nomen | das Geschäft | The shop opens at eight. | Das Geschäft öffnet um acht Uhr. | I buy bread at the shop. | Ich kaufe Brot im Geschäft. | ˈʃɒp
be | be, was, been |  | Verb | sein | I want to be a teacher. | Ich möchte Lehrer sein. | We will be at home today. | Wir werden heute zu Hause sein. | ˈbiː
have | have, had, had |  | Verb | haben | I have a new book. | Ich habe ein neues Buch. | They have two children. | Sie haben zwei Kinder. | ˈhæv
go | go, went, gone |  | Verb | gehen | We go to school together. | Wir gehen gemeinsam zur Schule. | I go home after dinner. | Ich gehe nach dem Abendessen nach Hause. | ˈɡəʊ
come | come, came, come |  | Verb | kommen | My friends come to our house. | Meine Freunde kommen zu unserem Haus. | Please come home before dinner. | Bitte komm vor dem Abendessen nach Hause. | ˈkʌm
make | make, made, made |  | Verb | machen | We make breakfast in the kitchen. | Wir machen das Frühstück in der Küche. | The pupils make a big poster. | Die Schüler machen ein grosses Plakat. | ˈmeɪk
say | say, said, said |  | Verb | sagen | Please say your name slowly. | Bitte sag deinen Namen langsam. | They say the answer together. | Sie sagen die Antwort gemeinsam. | ˈseɪ
see | see, saw, seen |  | Verb | sehen | I see a bird outside. | Ich sehe draussen einen Vogel. | We see our friends at school. | Wir sehen unsere Freunde in der Schule. | ˈsiː
eat | eat, ate, eaten |  | Verb | essen | We eat breakfast at seven. | Wir essen um sieben Uhr Frühstück. | The children eat bread and cheese. | Die Kinder essen Brot und Käse. | ˈiːt
drink | drink, drank, drunk |  | Verb | trinken | I drink water every day. | Ich trinke jeden Tag Wasser. | They drink milk for breakfast. | Sie trinken Milch zum Frühstück. | ˈdrɪŋk
learn |  |  | Verb | lernen | We learn English at school. | Wir lernen in der Schule Englisch. | I learn ten new words. | Ich lerne zehn neue Wörter. | ˈlɜːn
play |  |  | Verb | spielen | The children play in the garden. | Die Kinder spielen im Garten. | I play with my friend. | Ich spiele mit meinem Freund. | ˈpleɪ
live |  |  | Verb | wohnen | We live near the station. | Wir wohnen nahe beim Bahnhof. | My grandparents live in a city. | Meine Grosseltern wohnen in einer Stadt. | ˈlɪv
big |  |  | Adjektiv | gross | Their house is very big. | Ihr Haus ist sehr gross. | He has a big dog. | Er hat einen grossen Hund. | ˈbɪɡ
small |  |  | Adjektiv | klein | My room is very small. | Mein Zimmer ist sehr klein. | She has a small cat. | Sie hat eine kleine Katze. | ˈsmɔːl
good | good, better, best |  | Adjektiv | gut | This soup is very good. | Diese Suppe ist sehr gut. | He is a good teacher. | Er ist ein guter Lehrer. | ˈɡʊd
bad | bad, worse, worst |  | Adjektiv | schlecht | The weather is bad today. | Das Wetter ist heute schlecht. | This is a bad answer. | Das ist eine schlechte Antwort. | ˈbæd
new |  |  | Adjektiv | neu | My sister has a new jacket. | Meine Schwester hat eine neue Jacke. | We live in a new house. | Wir wohnen in einem neuen Haus. | ˈnjuː
old |  |  | Adjektiv | alt | My grandfather has an old car. | Mein Grossvater hat ein altes Auto. | This tree is very old. | Dieser Baum ist sehr alt. | ˈəʊld
=== fr-de ===
la famille |  | f | Nomen | die Familie | Ma famille habite en Suisse. | Meine Familie lebt in der Schweiz. | Toute la famille mange ensemble. | Die ganze Familie isst gemeinsam. | faˈmij
la mère |  | f | Nomen | die Mutter | Ma mère travaille à la maison. | Meine Mutter arbeitet zu Hause. | Sa mère prépare une soupe. | Seine Mutter kocht eine Suppe. | ˈmɛʁ
le père |  | m | Nomen | der Vater | Mon père lit un livre. | Mein Vater liest ein Buch. | Son père conduit la voiture. | Ihr Vater fährt das Auto. | ˈpɛʁ
les parents |  | m pl | Nomen | die Eltern | Mes parents habitent à Zurich. | Meine Eltern wohnen in Zürich. | Ses parents arrivent demain matin. | Ihre Eltern kommen morgen früh an. | paˈʁɑ̃
la sœur |  | f | Nomen | die Schwester | Ma sœur va à l'école. | Meine Schwester geht zur Schule. | Sa sœur joue dans le jardin. | Seine Schwester spielt im Garten. | ˈsœʁ
le frère |  | m | Nomen | der Bruder | Mon frère a un chien. | Mein Bruder hat einen Hund. | Son frère boit du lait. | Ihr Bruder trinkt Milch. | ˈfʁɛʁ
la grand-mère |  | f | Nomen | die Grossmutter | Ma grand-mère prépare du pain. | Meine Grossmutter macht Brot. | Sa grand-mère habite près d'ici. | Seine Grossmutter wohnt in der Nähe. | ɡʁɑ̃ˈmɛʁ
le grand-père |  | m | Nomen | der Grossvater | Mon grand-père lit chaque jour. | Mein Grossvater liest jeden Tag. | Son grand-père a une vieille voiture. | Ihr Grossvater hat ein altes Auto. | ɡʁɑ̃ˈpɛʁ
la fille |  | f | Nomen | die Tochter | Leur fille a dix ans. | Ihre Tochter ist zehn Jahre alt. | Sa fille apprend le français. | Seine Tochter lernt Französisch. | ˈfij
le fils |  | m | Nomen | der Sohn | Leur fils joue avec le chien. | Ihr Sohn spielt mit dem Hund. | Son fils rentre demain matin. | Ihr Sohn kommt morgen früh zurück. | ˈfis
l'enfant |  | m | Nomen | das Kind | L'enfant boit de l'eau. | Das Kind trinkt Wasser. | Chaque enfant a un livre. | Jedes Kind hat ein Buch. | ɑ̃ˈfɑ̃
l'homme |  | m | Nomen | der Mann | L'homme ouvre la porte. | Der Mann öffnet die Tür. | Un homme attend devant l'école. | Ein Mann wartet vor der Schule. | ˈɔm
la femme |  | f | Nomen | die Frau | La femme achète du fromage. | Die Frau kauft Käse. | Une femme attend à la gare. | Eine Frau wartet am Bahnhof. | ˈfam
l'ami |  | m | Nomen | der Freund | Mon ami habite près d'ici. | Mein Freund wohnt in der Nähe. | Je vois mon ami aujourd'hui. | Ich sehe meinen Freund heute. | aˈmi
l'école |  | f | Nomen | die Schule | Notre école est très grande. | Unsere Schule ist sehr gross. | Nous allons ensemble à l'école. | Wir gehen gemeinsam zur Schule. | eˈkɔl
le professeur |  | m | Nomen | der Lehrer | Le professeur écrit au tableau. | Der Lehrer schreibt an die Tafel. | Notre professeur pose une question. | Unser Lehrer stellt eine Frage. | pʁɔfɛˈsœʁ
l'élève |  | m | Nomen | der Schüler | L'élève ouvre son livre. | Der Schüler öffnet sein Buch. | Chaque élève a un crayon. | Jeder Schüler hat einen Bleistift. | eˈlɛv
le livre |  | m | Nomen | das Buch | Ce livre est très intéressant. | Dieses Buch ist sehr interessant. | Je lis un livre aujourd'hui. | Ich lese heute ein Buch. | ˈlivʁ
le cahier |  | m | Nomen | das Heft | Mon cahier est sur la table. | Mein Heft liegt auf dem Tisch. | Elle écrit dans son cahier. | Sie schreibt in ihr Heft. | kaˈje
le crayon |  | m | Nomen | der Bleistift | J'écris avec un crayon. | Ich schreibe mit einem Bleistift. | Son crayon est sous la chaise. | Sein Bleistift liegt unter dem Stuhl. | kʁɛˈjɔ̃
le stylo |  | m | Nomen | der Kugelschreiber | Mon stylo est dans mon sac. | Mein Kugelschreiber ist in meiner Tasche. | Elle écrit avec un stylo bleu. | Sie schreibt mit einem blauen Kugelschreiber. | stiˈlo
le tableau |  | m | Nomen | die Tafel | La réponse est au tableau. | Die Antwort steht an der Tafel. | Le professeur nettoie le tableau. | Der Lehrer reinigt die Tafel. | taˈblo
la table |  | f | Nomen | der Tisch | Les livres sont sur la table. | Die Bücher liegen auf dem Tisch. | Nous mangeons autour de la table. | Wir essen am Tisch. | ˈtabl
la chaise |  | f | Nomen | der Stuhl | La chaise est près de la fenêtre. | Der Stuhl steht beim Fenster. | Le chat dort sur la chaise. | Die Katze schläft auf dem Stuhl. | ˈʃɛz
la question |  | f | Nomen | die Frage | Le professeur pose une question. | Der Lehrer stellt eine Frage. | Je comprends bien ta question. | Ich verstehe deine Frage gut. | kɛsˈtjɔ̃
la réponse |  | f | Nomen | die Antwort | Sa réponse est correcte. | Seine Antwort ist richtig. | Il écrit la réponse lentement. | Er schreibt die Antwort langsam. | ʁeˈpɔ̃s
un |  |  | Zahlwort | eins | J'ai un frère. | Ich habe einen Bruder. | Un livre est sur la table. | Ein Buch liegt auf dem Tisch. | ˈœ̃
deux |  |  | Zahlwort | zwei | Elle a deux bons amis. | Sie hat zwei gute Freunde. | Nous achetons deux litres de lait. | Wir kaufen zwei Liter Milch. | ˈdø
trois |  |  | Zahlwort | drei | Trois élèves lisent un livre. | Drei Schüler lesen ein Buch. | Il mange trois petites pommes. | Er isst drei kleine Äpfel. | ˈtʁwa
dix |  |  | Zahlwort | zehn | Notre classe a dix élèves. | Unsere Klasse hat zehn Schüler. | Le train arrive dans dix minutes. | Der Zug kommt in zehn Minuten. | ˈdis
cent |  |  | Zahlwort | hundert | Ce livre a cent pages. | Dieses Buch hat hundert Seiten. | Cent personnes habitent dans cette rue. | Hundert Menschen wohnen in dieser Strasse. | ˈsɑ̃
le jour |  | m | Nomen | der Tag | Aujourd'hui est un beau jour. | Heute ist ein schöner Tag. | J'apprends le français chaque jour. | Ich lerne jeden Tag Französisch. | ˈʒuʁ
la semaine |  | f | Nomen | die Woche | Nous avons école cette semaine. | Wir haben diese Woche Schule. | Elle visite sa grand-mère chaque semaine. | Sie besucht jede Woche ihre Grossmutter. | səˈmɛn
le mois |  | m | Nomen | der Monat | Ce mois a trente jours. | Dieser Monat hat dreissig Tage. | Nous partons le mois prochain. | Wir fahren nächsten Monat weg. | ˈmwa
l'année |  | f | Nomen | das Jahr | L'année commence en janvier. | Das Jahr beginnt im Januar. | Il habite ici toute l'année. | Er wohnt das ganze Jahr hier. | aˈne
aujourd'hui |  |  | Adverb | heute | Nous avons français aujourd'hui. | Wir haben heute Französisch. | Il fait beau aujourd'hui. | Heute ist schönes Wetter. | oʒuʁˈdɥi
demain |  |  | Adverb | morgen | Le train part demain matin. | Der Zug fährt morgen früh ab. | Je visite mon ami demain. | Ich besuche morgen meinen Freund. | dəˈmɛ̃
l'heure |  | f | Nomen | die Stunde | Le cours dure une heure. | Der Unterricht dauert eine Stunde. | Nous attendons ici une heure. | Wir warten hier eine Stunde. | ˈœʁ
la tête |  | f | Nomen | der Kopf | J'ai mal à la tête. | Ich habe Kopfschmerzen. | Il pose sa main sur sa tête. | Er legt seine Hand auf den Kopf. | ˈtɛt
la main |  | f | Nomen | die Hand | Elle écrit de la main gauche. | Sie schreibt mit der linken Hand. | Donne-moi ta main. | Gib mir deine Hand. | ˈmɛ̃
l'œil | l'œil, les yeux | m | Nomen | das Auge | Son œil gauche est bleu. | Ihr linkes Auge ist blau. | Il ferme un œil. | Er schliesst ein Auge. | ˈœj
le pied |  | m | Nomen | der Fuss | Mon pied droit me fait mal. | Mein rechter Fuss tut weh. | Il lave son pied gauche. | Er wäscht seinen linken Fuss. | ˈpje
le cœur |  | m | Nomen | das Herz | Mon cœur bat très vite. | Mein Herz schlägt sehr schnell. | Le médecin écoute son cœur. | Der Arzt hört sein Herz ab. | ˈkœʁ
la bouche |  | f | Nomen | der Mund | Ouvre la bouche, s'il te plaît. | Öffne bitte den Mund. | L'enfant a une petite bouche. | Das Kind hat einen kleinen Mund. | ˈbuʃ
l'eau | l'eau, les eaux | f | Nomen | das Wasser | Je bois de l'eau chaque matin. | Ich trinke jeden Morgen Wasser. | L'eau est très froide. | Das Wasser ist sehr kalt. | ˈo
le pain |  | m | Nomen | das Brot | Nous mangeons du pain au petit-déjeuner. | Wir essen Brot zum Frühstück. | Elle achète du pain frais. | Sie kauft frisches Brot. | ˈpɛ̃
le lait |  | m | Nomen | die Milch | L'enfant boit du lait chaud. | Das Kind trinkt warme Milch. | Nous prenons du lait au petit-déjeuner. | Wir trinken Milch zum Frühstück. | ˈlɛ
la pomme |  | f | Nomen | der Apfel | Cette pomme est très bonne. | Dieser Apfel ist sehr gut. | Il mange une pomme à l'école. | Er isst in der Schule einen Apfel. | ˈpɔm
le fromage |  | m | Nomen | der Käse | Le fromage est sur la table. | Der Käse liegt auf dem Tisch. | Je mange du pain avec du fromage. | Ich esse Brot mit Käse. | fʁɔˈmaʒ
la viande |  | f | Nomen | das Fleisch | Nous mangeons de la viande ce soir. | Wir essen heute Abend Fleisch. | La viande est encore chaude. | Das Fleisch ist noch warm. | ˈvjɑ̃d
l'œuf |  | m | Nomen | das Ei | Je mange un œuf au petit-déjeuner. | Ich esse ein Ei zum Frühstück. | L'œuf est dans la cuisine. | Das Ei ist in der Küche. | ˈœf
le poisson |  | m | Nomen | der Fisch | Le poisson nage dans l'eau. | Der Fisch schwimmt im Wasser. | Nous mangeons du poisson ce soir. | Wir essen heute Abend Fisch. | pwaˈsɔ̃
la soupe |  | f | Nomen | die Suppe | La soupe est très chaude. | Die Suppe ist sehr heiss. | Ma mère prépare une bonne soupe. | Meine Mutter kocht eine gute Suppe. | ˈsup
le sucre |  | m | Nomen | der Zucker | Je prends du sucre avec mon thé. | Ich nehme Zucker zu meinem Tee. | Le sucre est sur la table. | Der Zucker steht auf dem Tisch. | ˈsykʁ
le petit-déjeuner |  | m | Nomen | das Frühstück | Nous prenons le petit-déjeuner ensemble. | Wir frühstücken gemeinsam. | Le petit-déjeuner est prêt à sept heures. | Das Frühstück ist um sieben Uhr bereit. | pəti deʒøˈne
le dîner |  | m | Nomen | das Abendessen | Le dîner est prêt maintenant. | Das Abendessen ist jetzt bereit. | Nous préparons le dîner ensemble. | Wir bereiten das Abendessen gemeinsam zu. | diˈne
la maison |  | f | Nomen | das Haus | Notre maison a un jardin. | Unser Haus hat einen Garten. | La maison est près de l'école. | Das Haus steht nahe bei der Schule. | mɛˈzɔ̃
l'appartement |  | m | Nomen | die Wohnung | Leur appartement est très petit. | Ihre Wohnung ist sehr klein. | Nous habitons dans un nouvel appartement. | Wir wohnen in einer neuen Wohnung. | apaʁtəˈmɑ̃
la chambre |  | f | Nomen | das Zimmer | Ma chambre a deux fenêtres. | Mein Zimmer hat zwei Fenster. | Les enfants jouent dans cette chambre. | Die Kinder spielen in diesem Zimmer. | ˈʃɑ̃bʁ
la porte |  | f | Nomen | die Tür | Ferme la porte, s'il te plaît. | Schliesse bitte die Tür. | Le chien attend devant la porte. | Der Hund wartet vor der Tür. | ˈpɔʁt
la fenêtre |  | f | Nomen | das Fenster | Ouvre la fenêtre, s'il te plaît. | Öffne bitte das Fenster. | Le chat regarde par la fenêtre. | Die Katze schaut aus dem Fenster. | fəˈnɛtʁ
le lit |  | m | Nomen | das Bett | L'enfant dort dans ce lit. | Das Kind schläft in diesem Bett. | Mon livre est sur le lit. | Mein Buch liegt auf dem Bett. | ˈli
